"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_expiration <#2>","guichet-entreprises.nc/61.5.212.17","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","guichet-entreprises.nc/61.5.212.17","443","INFO","USERTrust RSA Certification Authority <-- AAA Certificate Services","",""
"intermediate_cert_badOCSP","guichet-entreprises.nc/61.5.212.17","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","guichet-entreprises.nc/61.5.212.17","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","guichet-entreprises.nc/61.5.212.17","443","INFO","0 seconds from localtime","",""
"HSTS","guichet-entreprises.nc/61.5.212.17","443","LOW","not offered","",""
"HPKP","guichet-entreprises.nc/61.5.212.17","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","guichet-entreprises.nc/61.5.212.17","443","INFO","nginx","",""
"banner_application","guichet-entreprises.nc/61.5.212.17","443","INFO","No application banner found","",""
"cookie_count","guichet-entreprises.nc/61.5.212.17","443","INFO","0 at '/'","",""
"security_headers","guichet-entreprises.nc/61.5.212.17","443","MEDIUM","--","",""
"banner_reverseproxy","guichet-entreprises.nc/61.5.212.17","443","INFO","--","","CWE-200"
"heartbleed","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","guichet-entreprises.nc/61.5.212.17","443","OK","supported","","CWE-310"
"secure_client_renego","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","guichet-entreprises.nc/61.5.212.17","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","guichet-entreprises.nc/61.5.212.17","443","LOW","uses 64 bit block ciphers","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","guichet-entreprises.nc/61.5.212.17","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=77189E8591E550405E1DEDA466E3A7CD81EAC38AFCCB83B52069A0C4FFB8501F","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","guichet-entreprises.nc/61.5.212.17","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","guichet-entreprises.nc/61.5.212.17","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","guichet-entreprises.nc/61.5.212.17","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","guichet-entreprises.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_500","guichet-entreprises.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","guichet-entreprises.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
