"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_extlifeSpan","connect.gouv.nc/61.5.212.17","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","connect.gouv.nc/61.5.212.17","443","INFO","not present","",""
"cert_crlDistributionPoints","connect.gouv.nc/61.5.212.17","443","INFO","--","",""
"cert_ocspURL","connect.gouv.nc/61.5.212.17","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","connect.gouv.nc/61.5.212.17","443","LOW","not offered","",""
"cert_mustStapleExtension","connect.gouv.nc/61.5.212.17","443","INFO","--","",""
"DNS_CAArecord","connect.gouv.nc/61.5.212.17","443","LOW","--","",""
"certificate_transparency","connect.gouv.nc/61.5.212.17","443","OK","yes (certificate extension)","",""
"certs_countServer","connect.gouv.nc/61.5.212.17","443","INFO","3","",""
"certs_list_ordering_problem","connect.gouv.nc/61.5.212.17","443","INFO","no","",""
"cert_caIssuers","connect.gouv.nc/61.5.212.17","443","INFO","R3 (Let's Encrypt from US)","",""
